Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_expenditure_sum
ST.INT.XPND.CD,Chad,TCD,56000000,56000000,80000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,192000000
ST.INT.XPND.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Chile,CHL,904000000,939000000,932000000,1109000000,1251000000,1114000000,1238000000,1408000000,1386000000,1511000000,1736000000,2085000000,2400000000,2499000000,2707000000,2518000000,2733000000,3093000000,3124000000,3142000000,720000000,38549000000
ST.INT.XPND.CD,China,CHN,14169000000,14992000000,16759000000,16716000000,21360000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83996000000
ST.INT.XPND.CD,Colombia,COL,1452000000,1556000000,1355000000,1349000000,1543000000,1934000000,2171000000,2501000000,2819000000,2841000000,3228000000,3689000000,4461000000,4592000000,5299000000,4890000000,4891000000,5136000000,5531000000,5658000000,1576000000,68472000000
ST.INT.XPND.CD,Comoros,COM,..,..,..,7900000.095,9399999.619,19100000.38,23600000.38,28299999.24,31100000.38,30000000,33200000.76,37400001.53,36299999.24,..,40000000,34000000,38000000,42000000,48000000,53000000,43000000,554300001.6
ST.INT.XPND.CD,Dem. Rep. Congo,COD,..,..,..,..,..,54000000,93000000,109000000,127000000,121000000,150000000,298000000,108000000,170000000,283000000,127000000,60000000,68000000,115000000,..,..,1883000000
ST.INT.XPND.CD,Congo,COG,59000000,82000000,85000000,118000000,176000000,..,..,157000000,217000000,549000000,312000000,327000000,308000000,360000000,435000000,557000000,457000000,..,..,..,..,4199000000
ST.INT.XPND.CD,Costa Rica,CRI,545000000,430000000,427000000,484000000,530000000,591000000,647000000,825000000,753000000,500000000,629000000,620000000,647000000,649000000,657000000,898000000,1055000000,1322000000,1198000000,1330000000,697000000,15434000000
ST.INT.XPND.CD,Côte d'Ivoire,CIV,291000000,289000000,490000000,551000000,571000000,549000000,583000000,606000000,612000000,589000000,569000000,580000000,560000000,583000000,625000000,560000000,491000000,564000000,625000000,702000000,315000000,11305000000
ST.INT.XPND.CD,Croatia,HRV,634000000,677000000,852000000,709000000,881000000,786000000,770000000,1025000000,1167000000,1042000000,861000000,918000000,962000000,923000000,865000000,770000000,954000000,1410000000,1741000000,1811000000,789687194.8,20547687195
ST.INT.XPND.CD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Curacao,CUW,..,..,137000000,176000000,195000000,164000000,191000000,223000000,229000000,258000000,282000000,321000000,357000000,377000000,383000000,419000000,428000000,447000000,452000000,411000000,127000000,5577000000
ST.INT.XPND.CD,Cyprus,CYP,543000000,568000000,582000000,700293945.3,906639831.5,1001000000,1031161133,1553829346,1968000000,1742000000,1320000000,1366000000,1318000000,1254000000,1343000000,1453000000,1559318481,1378000000,1569000000,1596000000,880000000,25632242737
ST.INT.XPND.CD,Czechia,CZE,..,..,1797000000,2177000000,2682000000,2603000000,2874000000,3895000000,5029000000,4336000000,4354000000,4876000000,4556000000,4698000000,5173000000,4819000000,4962000000,5533000000,6074000000,6034000000,3495000000,79967000000
ST.INT.XPND.CD,Denmark,DNK,4669000000,4861000000,5838000000,6659000000,7279000000,6850000000,7486000000,8830000000,9698000000,8968000000,9082000000,9840000000,9600000000,10072000000,10443000000,8918000000,9174000000,9804000000,10485000000,..,..,1.58556E+11
ST.INT.XPND.CD,Djibouti,DJI,14800000.19,12899999.62,7699999.809,9899999.619,14000000,14399999.62,15000000,14199999.81,15500000,17500000,20500000,33500000,29600000.38,..,..,..,..,..,..,..,..,219499999
ST.INT.XPND.CD,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39000000,34000000,33000000,28000000,28000000,31000000,9000000,202000000
ST.INT.XPND.CD,Dominican Rep.,DOM,440000000,425000000,429000000,408000000,448000000,511000000,495000000,531000000,532000000,523000000,662000000,689000000,690000000,679000000,717000000,803000000,882000000,940000000,1006000000,1060000000,444000000,13314000000
ST.INT.XPND.CD,Ecuador,ECU,416000000,465000000,507000000,500000000,577000000,644000000,706000000,733000000,790000000,806000000,863000000,917000000,944000000,989000000,990000000,994000000,1454000000,1463000000,1523000000,1650000000,533000000,18464000000
ST.INT.XPND.CD,Egypt,EGY,1206000000,1248000000,1309000000,1465000000,1543000000,1932000000,2156000000,2886000000,3390000000,2941000000,2696000000,2575000000,3037000000,3261000000,3486000000,3636000000,4351000000,2419000000,2897000000,3718000000,2578000000,54730000000
ST.INT.XPND.CD,El Salvador,SLV,219000000,247000000,266000000,311000000,373000000,288000000,307000000,363000000,326000000,253000000,280000000,244000000,287000000,270000000,277000000,332000000,451000000,466000000,490000000,504000000,162000000,6716000000
ST.INT.XPND.CD,Equatorial Guinea,GNQ,19000000,30000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49000000
ST.INT.XPND.CD,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Estonia,EST,253000000,253000000,305000000,404000000,486000000,530000000,706000000,804000000,939000000,..,..,..,..,1236000000,1346000000,1169000000,1299000000,1395000000,1647000000,1808000000,676000000,15256000000
ST.INT.XPND.CD,Eswatini,SWZ,32000000,31000000,..,23000000,54000000,60000000,54000000,63000000,59000000,98000000,87000000,35000000,53000000,48000000,62000000,64000000,33000000,74000000,43000000,33000000,36400001.53,1042400002
ST.INT.XPND.CD,Ethiopia,ETH,80000000,50000000,55000000,63000000,59000000,..,..,..,..,139000000,..,..,..,..,..,..,461000000,363500000,612700012.2,661000000,322500000,2866700012
ST.INT.XPND.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Fiji,FJI,96000000,84000000,79000000,88000000,118000000,132000000,113000000,106000000,108000000,108000000,102000000,116000000,110000000,105000000,99000000,115000000,119000000,138000000,160000000,174000000,77000000,2347000000
ST.INT.XPND.CD,Finland,FIN,2293000000,2442000000,2440000000,2956000000,3385000000,3620000000,4099000000,4812000000,5577000000,5236000000,5268000000,6013000000,5841000000,6387000000,6326000000,5786000000,6199000000,6740000000,7223000000,6841000000,1940000000,1.01424E+11
ST.INT.XPND.CD,France,FRA,29016000000,28781000000,30270000000,35807000000,36362000000,38633000000,39319000000,46042000000,50373000000,45087000000,46695000000,55509000000,50068000000,52444000000,58464000000,47713000000,49029000000,53787000000,59131000000,59751000000,31193000000,9.43474E+11
ST.INT.XPND.CD,French Polynesia,PYF,..,..,264000000,335000000,425000000,430000000,..,..,388000000,339000000,335000000,327000000,300000000,293000000,312000000,277000000,226000000,..,..,..,..,4251000000
ST.INT.XPND.CD,Gabon,GAB,183000000,256000000,234000000,239000000,275000000,346000000,..,328000000,490000000,476000000,560000000,658000000,441000000,404000000,509000000,346000000,..,..,..,..,..,5745000000
ST.INT.XPND.CD,Gambia,GMB,..,..,..,8000000,6000000,7000000,8000000,13000000,12000000,12000000,14000000,16000000,13000000,10399999.62,55400001.53,5400000.095,7199999.809,8500000,10399999.62,10000000,5199999.809,221500000.5
ST.INT.XPND.CD,Georgia,GEO,129000000,136000000,189000000,170000000,196000000,237000000,257000000,277000000,337000000,311000000,329000000,384000000,471000000,537000000,563000000,609000000,706000000,853000000,960000000,1124000000,292000000,9067000000
ST.INT.XPND.CD,Germany,DEU,57607000000,56437000000,59550000000,72839000000,80321000000,84513000000,85717000000,96170000000,1.05691E+11,92899000000,90866000000,99909000000,96196000000,1.02668E+11,1.01737E+11,85334000000,87412000000,97163000000,1.03502E+11,1.01231E+11,..,1.75776E+12
ST.INT.XPND.CD,Ghana,GHA,162000000,165000000,184000000,216000000,270000000,472000000,575000000,816000000,870000000,948000000,882000000,1026000000,976000000,982000000,947000000,1405000000,1571000000,1581000000,1329000000,1380000000,946000000,17703000000
ST.INT.XPND.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Greece,GRC,4564000000,4190000000,2456000000,2441000000,2882000000,3044000000,3005000000,3430000000,3946000000,4122000000,3400000000,3809000000,3005000000,3768000000,4003000000,3535000000,3412000000,3306000000,3910000000,4211000000,1500000000,71939000000
ST.INT.XPND.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34000000,40000000,40000000,38000000,42000000,48000000,12000000,254000000
ST.INT.XPND.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Guatemala,GTM,216000000,266000000,329000000,373000000,488000000,532000000,655000000,737000000,821000000,751000000,843000000,883000000,926000000,995000000,1029000000,1020000000,1032000000,1066000000,1105000000,1128000000,346000000,15541000000
ST.INT.XPND.CD,Guinea,GIN,13000000,26000000,38000000,36000000,29000000,38000000,41000000,96000000,30000000,28000000,16000000,49200000.76,41700000.76,60500000,28799999.24,38000000,16299999.24,102400001.5,411700012.2,419500000,1075099976,2634199989
ST.INT.XPND.CD,Guinea-Bissau,GNB,..,5500000,10199999.81,21299999.24,22299999.24,18899999.62,17799999.24,40700000.76,46099998.47,26000000,29500000,38599998.47,24500000,..,..,..,..,..,74599998.47,88900001.53,..,464899994.9
ST.INT.XPND.CD,Guyana,GUY,77000000,62000000,44000000,30000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,213000000
ST.INT.XPND.CD,Haiti,HTI,173000000,168000000,172000000,202000000,206000000,174000000,239000000,331000000,383000000,427000000,431000000,458000000,473000000,418000000,475000000,503000000,503000000,485000000,599000000,554000000,..,7374000000
ST.INT.XPND.CD,Honduras,HND,198000000,205000000,221000000,274000000,300000000,321000000,425000000,309000000,385000000,361000000,406000000,446000000,549000000,506000000,437000000,454000000,482000000,517000000,558000000,655000000,230000000,8239000000
ST.INT.XPND.CD,"Hong Kong SAR, China",HKG,12502000000,12317000000,12418000000,11447000000,13270000000,13305000000,14044000000,15042000000,16095000000,15547000000,17357000000,19022000000,20077000000,21215000000,22011000000,23059000000,24141000000,25388000000,26498000000,..,..,3.34755E+11
ST.INT.XPND.CD,Hungary,HUN,1722000000,1887000000,2211000000,2700000000,2482000000,2721000000,2319000000,3088000000,3857000000,3251000000,2897000000,3048000000,2457000000,2526000000,2712000000,2456000000,2738000000,3049000000,3239000000,3352000000,1334000000,56046000000
ST.INT.XPND.CD,Iceland,ISL,..,..,373000000,524000000,699000000,991000000,1084000000,1336000000,..,..,..,..,..,..,..,..,..,..,..,..,..,5007000000
ST.INT.XPND.CD,India,IND,3686000000,4367000000,4350000000,4385000000,5783000000,8277000000,8738000000,10690000000,12083000000,..,..,..,14107000000,13884000000,17492000000,17686000000,19184000000,21856000000,25790000000,28595000000,15777000000,2.3673E+11
ST.INT.XPND.CD,Indonesia,IDN,..,..,5042000000,4427000000,4569000000,4740000000,5458000000,6578000000,8801000000,6908000000,8432000000,8653000000,9055000000,10280000000,10263000000,9800000000,9932000000,10945000000,13171000000,14449000000,1980000000,1.53483E+11
ST.INT.XPND.CD,Iran,IRN,671000000,714000000,3990000000,4120000000,4402000000,4112000000,5066000000,7335000000,8270000000,8503000000,10570000000,10555000000,8435000000,9464000000,10130000000,9658000000,11142000000,12568000000,9271000000,..,..,1.38976E+11
ST.INT.XPND.CD,Iraq,IRQ,..,..,..,..,..,627000000,526000000,705000000,813000000,1221000000,1675000000,1879000000,2363000000,4835000000,6115000000,7934000000,7647000000,8093000000,7855000000,10925000000,4172000000,67385000000
ST.INT.XPND.CD,Ireland,IRL,2626000000,2956000000,3835000000,4832000000,5291000000,6185000000,6981000000,8784000000,10543000000,7940000000,7176000000,6842000000,5895000000,6198000000,6412000000,5704000000,6234000000,6616000000,7541000000,8156000000,2334000000,1.29081E+11
ST.INT.XPND.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Israel,ISR,3733000000,3887000000,3322000000,3341000000,3663000000,4146000000,4286000000,4921000000,4967000000,4500000000,4683000000,4874000000,5008000000,5757000000,6534000000,7506000000,8210000000,8985000000,9975000000,10389000000,2175000000,1.14862E+11
ST.INT.XPND.CD,Italy,ITA,18170000000,17002000000,19652000000,23748000000,24076000000,26764000000,27449000000,32748000000,..,..,..,..,..,..,..,30312000000,30584000000,34819000000,37644000000,37908000000,12965000000,3.73841E+11
ST.INT.XPND.CD,Jamaica,JAM,238000000,227000000,274000000,269000000,318000000,290000000,315000000,340000000,312000000,259000000,235000000,213000000,418000000,392000000,457000000,413000000,413000000,455000000,505000000,508000000,291000000,7142000000
ST.INT.XPND.CD,Japan,JPN,42643000000,35526000000,34977000000,36505000000,48175000000,48096000000,37655000000,37258000000,38971000000,34787000000,39306000000,39760000000,40967000000,32244000000,28609000000,23252000000,25968000000,25774000000,28097000000,29146000000,6741000000,7.14457E+11
ST.INT.XPND.CD,Jordan,JOR,387000000,420000000,504000000,503000000,585000000,653000000,956000000,1024000000,1140000000,1202000000,1736000000,1280000000,1257000000,1206000000,1251000000,1267000000,1367000000,1496000000,1493000000,1569000000,408000000,21704000000
ST.INT.XPND.CD,Kazakhstan,KAZ,483000000,761000000,863000000,783000000,997000000,940000000,1060000000,1396000000,1361000000,1319000000,1489000000,1831000000,3609000000,3772000000,3771000000,3046000000,2580000000,2695000000,2852000000,2955000000,861000000,39424000000
ST.INT.XPND.CD,Kenya,KEN,156000000,183000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,339000000
ST.INT.XPND.CD,Kiribati,KIR,..,..,..,..,..,9300000.191,..,..,..,..,..,..,..,..,..,..,..,24569999.69,..,..,..,33869999.89
ST.INT.XPND.CD,North Korea,PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,South Korea,KOR,7945000000,8349000000,11440000000,11063000000,13507000000,16924000000,20947000000,24431000000,21447000000,16355000000,20788000000,22195000000,22934000000,24459000000,26136000000,27957000000,29817000000,34453000000,38022000000,35339000000,16705000000,4.51213E+11
ST.INT.XPND.CD,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Kuwait,KWT,2852000000,3207000000,3412000000,3750000000,4147000000,4997000000,6074000000,7267000000,8341000000,6799000000,7106000000,8879000000,10073000000,10567000000,12280000000,13148000000,13232000000,13722000000,14318000000,15839000000,6696000000,1.76706E+11
ST.INT.XPND.CD,Kyrgyzstan,KGZ,28000000,21000000,27000000,35000000,73000000,94000000,142000000,215000000,450000000,273000000,275000000,392000000,529000000,505000000,568000000,535000000,582000000,422000000,451000000,519000000,185000000,6321000000
ST.INT.XPND.CD,Laos,LAO,..,4099999.905,4300000.191,5000000,8000000,10000000,15000000,14000000,51000000,91000000,215000000,248000000,614000000,907000000,1054000000,1002000000,912099975.6,930000000,1005000000,1029000000,260000000,8378499976
ST.INT.XPND.CD,Latvia,LVA,281000000,255000000,267000000,365000000,428000000,655000000,788000000,1021000000,..,..,..,..,..,..,..,..,..,..,..,..,..,4060000000
ST.INT.XPND.CD,Lebanon,LBN,..,..,..,3319000000,3719000000,3565000000,3783000000,3914000000,4297000000,4928000000,4868000000,4440000000,4511000000,4692000000,5198000000,5187000000,5252000000,5704000000,6395000000,6495000000,1699000000,81966000000
ST.INT.XPND.CD,Lesotho,LSO,195000000,166000000,164000000,242000000,278000000,271000000,263000000,276000000,248000000,247000000,278000000,300000000,252000000,212000000,177000000,180000000,262000000,307000000,347000000,323000000,277000000,5265000000
ST.INT.XPND.CD,Liberia,LBR,..,..,..,..,29000000,33000000,41000000,48000000,58000000,51000000,..,..,..,..,..,..,..,..,..,..,..,260000000
ST.INT.XPND.CD,Libya,LBY,495000000,572000000,654000000,689000000,789000000,920000000,915000000,1010000000,1339000000,1683000000,2184000000,..,2654000000,2598000000,1325000000,1066000000,813000000,2005000000,2042000000,..,..,23753000000
ST.INT.XPND.CD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.XPND.CD,Lithuania,LTU,261000000,227000000,334000000,476000000,643000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1941000000
ST.INT.XPND.CD,Luxembourg,LUX,..,..,1936000000,2445000000,2920000000,3015000000,3058000000,3491000000,3839000000,3670000000,3626000000,3873000000,3094000000,3292000000,3359000000,2333000000,2048000000,2607000000,2872000000,3288000000,2458000000,57224000000
ST.INT.XPND.CD,"Macao SAR, China",MAC,..,..,512000000,471000000,529000000,475000000,506000000,608000000,695000000,714000000,883000000,1064000000,1155000000,1239000000,1385000000,1435000000,1500000000,1702000000,1941000000,2034000000,886000000,19734000000
ST.INT.XPND.CD,Madagascar,MDG,139000000,179000000,192000000,67000000,108000000,164000000,167000000,188000000,264000000,225000000,216000000,288000000,235000000,256000000,317000000,240000000,300000000,319000000,309000000,319000000,97000000,4589000000
ST.INT.XPND.CD,Malawi,MWI,53000000,52000000,86000000,70000000,70000000,84000000,85000000,79000000,86000000,91000000,90000000,92000000,96000000,90000000,106000000,121000000,100000000,120000000,174000000,195000000,119000000,2059000000
ST.INT.XPND.CD,Malaysia,MYS,2543000000,3391000000,3330000000,3401000000,3822000000,4339000000,5085000000,6600000000,7724000000,7196000000,9258000000,11136000000,13165000000,13377000000,13893000000,11599000000,11339000000,12145000000,13207000000,13694000000,5206000000,1.7545E+11
ST.INT.XPND.CD,Maldives,MDV,60000000,59000000,60000000,60000000,75000000,94000000,106000000,152000000,211000000,212000000,252000000,231000000,207000000,252000000,271000000,309000000,347000000,369000000,414000000,431000000,106000000,4278000000
ST.INT.XPND.CD,Mali,MLI,66000000,65000000,62000000,94000000,125000000,133000000,196000000,201000000,228000000,191000000,167000000,171000000,164000000,189000000,231000000,207000000,213000000,220000000,255000000,..,..,3178000000
ST.INT.XPND.CD,Malta,MLT,224000000,204000000,180000000,238000000,291000000,311000000,362000000,284000000,..,..,..,..,..,..,..,..,..,..,..,..,..,2094000000
ST.INT.XPND.CD,Marshall Islands,MHL,200000.003,300000.0119,300000.0119,300000.0119,400000.006,25500000,23100000.38,24299999.24,24500000,24549999.24,21989999.77,23799999.24,25500000,24700000.76,23799999.24,26200000.76,27000000,27600000.38,31399999.62,..,..,355439998.7
ST.INT.XPND.CD,Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,..,..,101000000,105000000,112000000,73000000,74000000,61000000,38000000,56000000,35000000,655000000
ST.INT.XPND.CD,Mauritius,MUS,203000000,216000000,223000000,236000000,277000000,295000000,347000000,384000000,489000000,384000000,423000000,427000000,394000000,458000000,503000000,616000000,683000000,738000000,663000000,656000000,224000000,8839000000
